Filename,TF-IDF Score,Deep Learning Score
22234_eval2.docx,0.00%,0.00%
22339_eval2.docx,0.00%,0.00%
cb.en.u4cse22060_grp15.docx,0.00%,0.00%
19CSE357.docx,0.00%,0.00%
22234_eval2.docx,0.00%,0.00%
19CSE357.docx,0.00%,0.00%
22339_eval2.docx,0.00%,0.00%
cb.en.u4cse22060_grp15.docx,0.00%,0.00%
1742319125986-19CSE357.docx,0.00%,0.00%
19CSE311_CaseStudy1_Group_1111.docx,7.78%,47.22%
